locale|uk_UA

DKB_MARKET_VALUE|Загальна ринкова вартість: 

SYSTEM_CRADLE|Автономна люлька THI

SYSTEM_CRADLE_SPECS|Енергоспоживання (номінальне): 20 MW\nМаса люльки: 500 kg\nВиробник: Titan Heavy Industries

SYSTEM_CRADLE_DESC|Дешева автономна люлька з лінійки вантажного обладнання, виробленого Titan Heavy Industries. Багато капітанів можуть не бачити сенсу заходити у кільця без нічого, прикріпленого до люльки, проте рятувальні команди можуть побачити перевагу в наявності легкодоступної люльки для підбору будь-яких рятувальних капсул або дронів.

SYSTEM_CRADLE_MANUAL|Порожня рука-люлька може захоплювати дронів та рятувальні капсули.


VELOCITYPLUS_DESCRIPTION|Надає велику колекцію функцій, що можна перемикати та налаштовувати. \n\nМод наразі реалізує наступне: \n\n * Показувати ринкову вартість мінералів - відображає загальну вартість вашої руди на ринку мінералів.\n * Додати порожнє обладнання люльки - додає люльки без нічого прикріпленого у відповідних меню кріплень.\n * Стиль шейдера MVFS - дозволяє видалити або змінити шейдер, що використовується у Minding Virtual Flight Service.\n * Приховати портрети - дозволяє приховати портрети екіпажу всюди, де вони можуть бути видимими поза меню екіпажу.\n * Виправити Voyager RSLS УПМ у OCP-209 - перевертає Voyager в OCP-209 для полегшення заповнення.\n * Прибрати обмеження швидкості 200 м/с - прибирає обмеження швидкості, встановлені аварійним автопілотом.\n * Дозволити подорож за межі зони кілець - дозволяє виходити за межі нормальної ігрової зони (< 0 км та > 3 006 км глибини).\n * Варіювати таймери трансляцій - варіює час, наданий іншими екіпажами та персоналом, щоб вони виглядали природніше, ніби взяті з їхнього астрогаційного комп\'ютера. Трансляції включають: координати від екіпажів, координати від шахтарів, трансляції SRO, координати піратських контейнерів та кораблів.\n * Зафіксувати рухому та турельну зброю - запобігає націлюванню будь-якого обладнання, що може обертатися, фіксуючи його під кутом 0 градусів.\n * Приховати непошкоджене обладнання під час ремонту - меню ремонту відображатиме лише обладнання зі станом нижче 100%.\n * Додати підказки до меню Енцелада - додає більше підказок для пояснення, чому ви можете або не можете щось зробити.\n * Увімкнути досягнення - дозволяє отримувати досягнення та результати у таблиці лідерів з увімкненими модами.\n * Збільшити ліміти маркерів екіпажу - збільшує кількість відстежуваних руд та транспондерів, якими ваш екіпаж може керувати одночасно.\n * Фіксація маніпуляторів на цілі автопілота - якщо об\'єкт вибрано автопілотом, AR-1500M буде націлюватися на нього в першу чергу.\n * Відображати від\'ємну глибину - HUD відображає відстань від кілець як від\'ємну глибину, а не приховує її.\n * Відображати час занурення - показує загальний час занурення у вкладці «Механік» поруч із ігровим годинником.\n * Показувати надійність обладнання - відображає інформацію про надійність обладнання у вкладці Інструкції користувача.\n * Перемикання HUD та УПМ - додає клавіші для керування відображенням HUD або живленням УПМ.\n * Пілоти зменшують час розрахунку астрогації - наявність пілота допомагає скоротити час розрахунку астрогаційного стрибка.\n * Статистика збережень - відображає статистику збереження, включаючи поточні гроші, страховку та час гри.\n * Поведінка повернення компаньйонів - дозволяє обрати поведінку компаньйонів за замовчуванням при нестачі палива, а також розширює варіанти виклику.\n * Вимкнути автоматичний адреналін пілота - запобігає активації адреналіну пілотом под час занурення.\n * Авторемонт - система розрахунку та виконання оптимальних операцій з ремонту чи заміни на основі кількох критеріїв.\n * Транзакції - відображає чистий баланс банківських операцій разом із деталізацією всіх доходів та витрат.\n * Мікрохвилі плавлять руду - будь-яка мікрохвильова система може виплавляти вміст води з руди для полегшення вантажу та пришвидшення переробки.\n * Перемикання систем на Енцеладі - дозволяє обирати активні системи перед початком занурення, з можливістю запам\'ятовувати налаштування.\n * Максимальний час відстеження астрогатора - дозволяє змінювати ліміт часу, протягом якого астрогатор може відстежувати точки інтересу.

VELOCITYPLUS_BRIEF|Модифікація зі значною кількістю налаштувань.


VP_ENCELADUS|Енцелад

VP_CREW|Екіпаж

VP_SHIPS|Кораблі

VP_RING|У кільцях

VP_INPUTS|Ввід

VP_MINERAL_MARKET|Показувати ринкову вартість мінералів

VP_MINERAL_MARKET_DESC|Додає додаткове текстове поле, що відображає вартість вашої частки на ринку мінералів у поточний момент

VP_ADD_CRADLES|Додати порожнє обладнання люльки

VP_ADD_CRADLES_DESC|Додає люльки без нічого прикріпленого у відповідних меню кріплень

VP_SIMULATION_SHADER|Стиль шейдера MVFS

VP_SIMULATION_SHADER_DESC|Модифікувати шейдер та/або фон Віртуальної Служби Польоту Minding

VP_MVFS_NONE|НЕМАЄ

VP_MVFS_SHADER|Прибрати HEX

VP_MVFS_SHADER_AND_BACKGROUND|Прибрати HEX та фон

VP_MVFS_LUMA_EDGE|Шейдер попереднього перегляду обладнання

VP_HIDE_CREW_EPRIME|Приховати портрети на Енцеладі Прайм

VP_HIDE_CREW_EPRIME_DESC|Видаляє портрети екіпажу з меню Енцелада Прайм. \n\nВам потрібно буде перевірити вкладку екіпажу, щоб побачити, хто у вас на борту

VP_HIDE_CREW_OMS|Приховати портрети в OMS

VP_HIDE_CREW_OMS_DESC|Видаляє портрети екіпажу в меню OMS. \n\nВам може знадобитися тримати в голові склад екіпажу, щоб знати, де вони

VP_OCP_VOYAGER|Виправити Voyager RSLS УПМ у OCP-209

VP_OCP_VOYAGER_DESC|Перевертає Voyager на 180 градусів для більш надійного потрапляння шматків руди в його отвір

VP_REMOVE_SPEED_LIMIT|Прибрати обмеження швидкості 200 м/с

VP_REMOVE_SPEED_LIMIT_DESC|Знімає обмеження швидкості, дозволяючи рухатися з будь-якою швидкістю.\n\nВам потрібно буде вдатися до інших методів для виходу з кілець

VP_EXIT_LEFT|Дозволити подорож за зовнішній край кілець

VP_EXIT_LEFT_DESC|Подорож за лівий край (у від'ємну глибину) більше не поверне вас на Енцелад.\n\nВам потрібно буде вдатися до інших методів для виходу з кілець

VP_EXIT_RIGHT|Дозволити подорож у Щілину Енке

VP_EXIT_RIGHT_DESC|Подорож у Щілину Енке (за 3005 км) більше не поверне вас на Енцелад.\n\nВам потрібно буде вдатися до інших методів для виходу з кілець

VP_VARIATED_BROADCASTS|Варіювати таймери трансляцій місцезнаходження

VP_VARIATED_BROADCASTS_DESC|Надає діапазон часу, протягом якого будь-яка трансляційна астрогаційна ціль буде надана, щоб створити враження, що дані надаються так, як вони були з комп'ютера джерела.\n\nТрансляції включають: місцезнаходження екіпажів, місцезнаходження шахтарських екіпажів, трансляції SRO, місцезнаходження піратських контейнерів та кораблів.

VP_REMOVE_GIMBALS|Зафіксувати рухому та турельну зброю на місці

VP_REMOVE_GIMBALS_DESC|Фіксує рухому зброю (напр. CL-200AP та AEMD-14) та турелі (напр. PDMWG, NDPT-4205) на місці.

VP_HIDE_UNDAMAGED_EQUIPMENT|Приховати непошкоджене обладнання з ремонтів

VP_HIDE_UNDAMAGED_EQUIPMENT_DESC|Видаляє будь-яке обладнання зі 100% міцністю з меню ремонту, робить ремонти більш оптимізованими

DKB_DEALER_TRADE_IN_OK|Продає ваш вибраний корабель, щоб надати його грошову вартість на покупку корабля.

DKB_DEALER_TRADE_IN_MAINT|Цей корабель не можна здати в обмін, оскільки він наразі перебуває на технічному обслуговуванні.

DKB_CANNOT_REPAIR|Це обладнання неможливо відремонтувати.\nВаш механік більше не може це полагодити,\nабо заміна може бути дешевшою

DKB_REPAIR_EQUIPMENT|Відремонтувати це обладнання

DKB_CANNOT_REPLACE|Цей предмет обладнання не можна замінити

DKB_REPLACE_EQUIPMENT|Замінити обладнання

VP_BETTER_TOOLTIPS|Додати підказки до меню Енцелада

VP_BETTER_TOOLTIPS_DESC|Додає пояснювальні підказки до різних кнопок у меню ремонту та продажу кораблів на Енцеладі, щоб допомогти пояснити, чому вони вимкнені.

VP_ENABLE_ACHIEVEMENTS|Увімкнути досягнення

VP_ENABLE_ACHIEVEMENTS_DESC|Вмикає досягнення, коли моди увімкнені

VP_ENABLE_ACHIEVEMENTS_ON_CHEATS|Досягнення на читерських збереженнях

VP_ENABLE_ACHIEVEMENTS_ON_CHEATS_DESC|Дозволяє отримувати досягнення на читерських збереженнях.\n\nПотребує увімкнення опції "Увімкнути досягнення".

VP_GEOLOGIST_MINERAL_LIMIT_MULTI|Множник ліміту маркерів мінералів геолога

VP_GEOLOGIST_MINERAL_LIMIT_MULTI_DESC|Множить кількість маркерів руди геолога, що відображаються навколо шматків руди, у 5 разів; з 200 до 1000

VP_ASTROGATOR_TACTICAL_LIMIT_MULTI|Множник ліміту тактичних маркерів астрогатора

VP_ASTROGATOR_TACTICAL_LIMIT_MULTI_DESC|Множить кількість тактичних маркерів астрогатора, що відображаються навколо кораблів та персоналу, у 5 разів; з 50 до 250

VP_ARM_TARGET_TO_AP|Маніпулятори фіксуються на цілі АП

VP_ARM_TARGET_TO_AP_DESC|Змушує всі маніпулятори намагатися пріоритизувати об'єкт, вибраний автопілотом, у першу чергу.

VP_DISPLAY_NEGATIVE_DEPTH|Відображати від'ємну глибину

VP_DISPLAY_NEGATIVE_DEPTH_DESC|Відстань від кілець відображається як від'ємна глибина.

VP_SHOW_DIVE_TIME|Відображати час занурення

VP_SHOW_DIVE_TIME_DESC|Додає годинник у вкладці «Механік» в OMS, що показує поточну дату та час, а також таймер активного часу занурення.

VP_SHOW_EQUIPMENT_RELIABILITY|Показувати надійність обладнання

VP_SHOW_EQUIPMENT_RELIABILITY_DESC|Показує дані про надійність обладнання у блоці Інструкції користувача у вкладці обладнання.

VP_TOGGLE_HUD|Перемкнути HUD

VP_TOGGLE_HUD_DESC|Перемикає видимість усіх елементів HUD, включаючи накладки автопілота

VP_TOGGLE_MPU|Перемкнути УПМ

VP_TOGGLE_MPU_DESC|Гаряча клавіша для перемикання живлення УПМ в OMS.

VP_PILOTS_REDUCE_ASTRO_CALC|Пілоти зменшують час розрахунку астрогації

VP_PILOTS_REDUCE_ASTRO_CALC_DESC|Модифікує час, потрібний для розрахунку астрогаційного маневру, на основі навичок та/або досвіду пілота.

VP_MIN_ASTROGATION_TIME|Мінімальний час розрахунку астрогації

VP_MIN_ASTROGATION_TIME_DESC|Мінімально можливий час, який пілот може витратити на виконання астрогаційного маневру.

VP_MAX_ASTROGATION_TIME|Максимальний час розрахунку астрогації

VP_MAX_ASTROGATION_TIME_DESC|Базовий час, потрібний для виконання астрогаційного маневру комп'ютером без пілота.

VP_PILOT_SKILL_BIAS|Пріоритет навичок пілота

VP_PILOT_SKILL_BIAS_DESC|Пріоритет, що використовується для визначення зменшення часу розрахунку астрогації. \nЗначення ближче до 0.0 надаватимуть перевагу рівню освіти. \nЗначення ближче до 1.0 надаватимуть перевагу рівню досвіду. \n0.5 використовує середнє досвіду та освіти порівну.

VP_SAVE_INFO_BUTTON|Статистика збереження

VP_SAVE_INFO_TEMPLATE|Дата та час: %s\nІгровий час: %s\nБаланс гаманця: %s\nБаланс страховки: %s\nНайнятий екіпаж: %s\nВласні кораблі: %s\nЗерно: %s\nЧас гри на кораблях:\n%s\nЧас гри обладнання:\n%s\nІнший час гри:\n%s\n

VP_MINUTES_INDICATOR|%s хвилин

VP_HOURS_INDICATOR|%s годин

VP_SCOOP_RETURN_PROTOCOL|Протокол повернення NT Companion

VP_SCOOP_RETURN_PROTOCOL_DESC|Поведінка ШІ компаньйонів NT за замовчуванням, коли вичерпується робоча маса

VP_RETURN_TO_ENCELADUS|Повернутися на Енцелад Прайм

VP_RETURN_TO_CRADLE|Повернутися до люльки

VP_HOLD_POSITION|Зупинитися та тримати позицію

VP_BIRDFEED|Передача зібраної руди

VP_SCOOP_RETURN_DIALOGUE_EXTRAS|Розширити опції поведінки повернення компаньйона

VP_SCOOP_RETURN_DIALOGUE_EXTRAS_DESC|Додає можливість запросити NT Companion тримати позицію, коли у нього закінчується паливо.

VP_PILOTS_DISABLE_ADRENALINE|Вимкнути автоматичний адреналін пілота

VP_PILOTS_DISABLE_ADRENALINE_DESC|Запобігає автоматичній активації адреналінового прискорювача пілотом, коли ви наближаєтесь до об'єктів.

VP_AUTOREPAIRS|Авторемонт

VP_AUTOMATIC_REPAIRS_TOGGLE|Увімкнути авторемонт

VP_AUTOMATIC_REPAIRS_TOGGLE_DESC|Автоматично ремонтувати активний корабель на основі відповідних критеріїв.

VP_AUTOREPAIR_PRIORITY|Режим пріоритету авторемонту

VP_AUTOREPAIR_PRIORITY_DESC|Пріоритет порядку ремонту обладнання. \n\n * Економно - ремонтує та замінює обладнання для найефективнішого витрачання грошей на основі відповідних критеріїв. \nМоже не призвести до придатного для польоту корабля. \n\n * Тільки ремонт - ремонтує обладнання на основі відповідних критеріїв. Ніколи не замінюватиме обладнання. \n\n * Тільки заміна - замінює обладнання на основі відповідних критеріїв. Тільки ремонтуватиме обладнання. \n\n * Максимізувати прибуток - ремонтує та замінює для максимізації можливого заробітку з корабля на основі специфічних критеріїв. \nМоже не призвести до придатного для польоту корабля.

VP_AUTOREPAIR_PRIORITY_ONLYREPAIR|Тільки ремонт

VP_AUTOREPAIR_PRIORITY_ONLYREPLACE|Тільки заміна

VP_AUTOREPAIR_PRIORITY_COSTEFFECTIVE|Економно

VP_AUTOREPAIR_PRIORITY_MAXPROFIT|Максимізувати прибуток

VP_AUTOREPAIR_MINIMUM_MONEY|Мінімум грошей

VP_AUTOREPAIR_MINIMUM_MONEY_DESC|Абсолютний мінімум доступних готівкових коштів для виконання авторемонту. \nСтраховка включена в розрахунок. \nВстановлення мінімального значення страховки запобігатиме використанню готівки в будь-якій операції авторемонту.

VP_AUTOREPAIR_MINIMUM_INSURANCE|Мінімум страховки

VP_AUTOREPAIR_MINIMUM_INSURANCE_DESC|Мінімальна доступна страховка, необхідна для виконання авторемонту. \nВстановлення цього значення на нуль дозволить використовувати гроші з вашого банківського рахунку для ремонту.

VP_AUTOREPAIR_MAXIMUM_REPAIR|Максимальна вартість ремонту

VP_AUTOREPAIR_MAXIMUM_REPAIR_DESC|Максимум, який авторемонт може витратити за одну дію ремонту.

VP_AUTOREPAIR_MAXIMUM_REPLACE|Максимальна вартість заміни

VP_AUTOREPAIR_MAXIMUM_REPLACE_DESC|Максимум, який авторемонт може витратити на заміну обладнання.

VP_AUTOREPAIRS_MENU_BUTTON|Авторемонт

VP_AUTOREPAIRS_REPAIR_TARGET_PERCENTAGE|Цільовий відсоток ремонту

VP_AUTOREPAIRS_REPAIR_TARGET_PERCENTAGE_DESC|Відсоток ремонту, якого авторемонт намагатиметься досягти на основі відповідних критеріїв. Може перевищити це значення, якщо останній виконаний ремонт перетне поріг. \nРежим пріоритету "Економно" замінить обладнання, якщо це економніше, ніж досягти цієї мети. \nІгнорується режимами "Тільки заміна" та "Максимізувати прибуток".

VP_DIVE_CLOCK_DISPLAY|У зануренні: %dг %02dхв %02дс

VP_CURRENT_CASH|Поточні:

VP_CASH_AT_ENCELADUS|Відправлені товари:

VP_SHOW_SHIPPED_CARGO_VALUE|Показувати вартість відправленого вантажу

VP_SHOW_SHIPPED_CARGO_VALUE_DESC|Показує вартість усієї руди, яку було успішно відправлено на Енцелад через вантажні контейнери або ведених.

VP_SOLD_GOODS|Транзакції:

VP_SHOW_TRANSACTIONS|Показувати транзакції

VP_SHOW_TRANSACTIONS_DESC|Показує чисту зміну вашого балансу від взаємодій у кільцях.

VP_SHOW_SOLD_GOODS|Показувати прибуток за транзакціями

VP_SHOW_SOLD_GOODS_DESC|Показує лише прибуткову частину всіх транзакцій у кільцях.

VP_SHOW_BOUGHT_GOODS|Показувати витрати за транзакціями

VP_SHOW_BOUGHT_GOODS_DESC|Показує лише витратну частину всіх транзакцій у кільцях.

VP_MIKES_MELT_ORE|Мікрохвилі плавлять руду

VP_MIKES_MELT_ORE_DESC|Дозволяє мікрохвильовим випромінювачам виплавляти воду зі шматків руди для полегшення вантажу та прискорення процесу.

VP_TOGGLE_SYSTEMS_AT_ENCELADUS|Перемикання систем корабля на Енцеладі

VP_TOGGLE_SYSTEMS_AT_ENCELADUS_DESC|Додає вкладку до меню обладнання на Енцеладі Прайм, яка дозволяє вибірково перемикати активність систем при заході у кільця. \n\nПошкодження або втрата корабля та/або його систем через автоматичне вимкнення не покриваються жодними гарантіями.

VP_REMEMBER_TOGGLED_SYSTEMS|Запам'ятовувати вимкнені системи з OMS

VP_REMEMBER_TOGGLED_SYSTEMS_DESC|Чи повинен корабель автоматично запам'ятовувати обладнання, яке ви вимкнули під час занурення. Обов'язково перевірте це на Енцеладі, щоб запобігти втраті корабля або систем.

VP_ENABLED_SYSTEMS|Перемикачі систем

VP_ASTROGATOR_TRACKING_TIME|Максимальний час відстеження астрогатора

VP_ASTROGATOR_TRACKING_TIME_DESC|Дозволяє визначити максимальний час відстеження ваших астрогаторів, при цьому поточний час буде масштабуватися відповідно.

VP_OVERRIDE_TURRET_AUTOFIRE|Перевизначити поведінку автовідключення турелі

VP_OVERRIDE_TURRET_AUTOFIRE_DESC|Чи буде змінено стандартний режим автоматичного вогню всіх турелей. Перегляньте «Режим перевизначення турелі», щоб налаштувати значення за замовчуванням.

VP_TURRET_OVERRIDE_MODE|Режим перевизначення турелі

