locale|uk_UA

DIALOG_SALVAGE_START_NEW_1|Вітаю, космічні далекобійники! Час для вашої щоденної дози огляду уламків прямо від Гільдії Брухтарів! Чув, у нас тут з'явилися новачки, тож готуйтеся, бо конкуренція просто ПАЛАЄ!

DIALOG_SALVAGE_START_NEW_2|Гаразд, брухтарі та вантажники, час для вашого щоденного зведення з пошуку та порятунку! У нас дрейфують уламки, корпуси чекають на відновлення, і новачки, готові відчути смак енцеладоларів, що течуть рікою!

DIALOG_SALVAGE_START_NEW_3|Гаразд, майстри-брухтарі, слухайте сюди! Космос ніколи не буває порожнім, і сьогоднішня порція уламків виглядає справді прибутково. Незалежно від того, працюєте ви соло, з екіпажем, чи ви тут просто новачки, здобичі вистачить на всіх — якщо встигнете першими. А якщо ні... що ж, ніяких енцеладоларів для вас! Удачі вам, молодняк!

DIALOG_SALVAGE_START_NEW_4|Доброго ранку, оперативники SRO! Або вечора. Або що там показує ваш судновий годинник. З часом тут справжня плутанина, але уламки вічні! Давайте пройдемося по сьогоднішніх повідомленнях, поки якісь вільні стрільці не перехопили вашу здобич і не поклали ваші енцеладолари до власної кишені. Особливо враховуючи, що серед вас є новачки, тож краще будьте готові хапати своє.

DIALOG_SALVAGE_START_NEW_5|Новий день, новий корпус чекає на другий шанс. Або на повторну переробку. У будь-якому випадку, у нас є координати, у вас є інструменти, і тут можна заробити непогані енцеладолари. Давайте до роботи і покажемо новачкам, що таке справжній бізнес!

DIALOG_SALVAGE_BYE_NEW_1|Це ваш звіт про уламки на сьогодні. Якщо ви активний член SRO — чудово, у вас є перевага. Якщо ні? Ви взагалі не повинні цього чути. Витік даних гільдії карається, аж до довічного виключення. Працюйте чисто, тримайте язика за зубами і продовжуйте збирати брухт. Новачки, готуйте зброю до бою!

DIALOG_SALVAGE_BYE_NEW_2|Це все від SRO на цей час! Ці звіти призначені виключно для членів організації з оплаченою підпискою — і ми відстежуємо витоки. Хочете зберегти статус? Тримайте координати в таємниці. Літайте безпечно, і новачкам — удачі!

DIALOG_SALVAGE_BYE_NEW_3|На сьогодні це весь перелік брухту. Нагадую: це ексклюзивна інформація гільдії. Несанкціоноване розповсюдження призводить до санкцій, штрафів та можливого чорного списку. Якщо хочете залишитися у справі, тримайте язика за зубами. Особливо це стосується новачків. Літайте безпечно і великих вам прибутків!

DIALOG_SALVAGE_BYE_NEW_4|Гаразд, рятувальники, це все на сьогодні. Лише дружнє нагадування: це приватні дані. Будь-хто, кого спіймають на зливі інформації за межі гільдії, назавжди втратить доступ — довічно. Не ризикуйте своїм засобом до існування заради швидкої копійки, особливо це стосується тебе, новачку.

DIALOG_SALVAGE_BYE_NEW_5|На цьому сьогоднішній звіт завершено. Якщо ви це чуєте, значить, ви на хорошому рахунку в SRO. Вирішили поділитися цим за межами гільдії? Це ненадовго. Дійте швидко, працюйте чисто, і до зустрічі в наступному ефірі. Новачки, сподіваюся, тиск вас не злякає.

DIALOG_SALVAGE_START_BEGINNER_1|Вітаю, космічні далекобійники! Час для вашої щоденної дози огляду уламків прямо від Гільдії Брухтарів! Сподіваюся, ваші маніпулятори гострі, а двигуни гарячі, бо у нас є свіжі корпуси, що дрейфують у темряві! Радий бачити знайомі імена в цьому списку.

DIALOG_SALVAGE_START_BEGINNER_2|Гаразд, знайомі брухтарі та вантажники, час для вашого щоденного зведення з пошуку та порятунку! У нас дрейфують уламки, корпуси чекають на відновлення, а енцеладолари вже чекають, щоб їх забрали. Давайте подивимося, що там сьогодні!

DIALOG_SALVAGE_START_BEGINNER_3|Гаразд, майстри-брухтарі, слухайте сюди! Космос ніколи не буває порожнім, і сьогоднішня порція уламків виглядає справді прибутково. Незалежно від того, працюєте ви соло чи з екіпажем, здобичі вистачить на всіх — якщо встигнете першими. А якщо ні... що ж, ніяких енцеладоларів для вас! Бачу багато знайомих імен серед слухачів, тож я сподіваюся, ви вже знаєте правила гри.

DIALOG_SALVAGE_START_BEGINNER_4|Доброго ранку, оперативники SRO! Або вечора. Або що там показує ваш судновий годинник. З часом тут справжня плутанина, але уламки вічні! Давайте пройдемося по сьогоднішніх повідомленнях, поки якісь вільні стрільці не перехопили вашу здобич і не поклали ваші енцеладолари до власної кишені. Я впізнаю деяких із вас, тож ви знаєте, як це працює.

DIALOG_SALVAGE_START_BEGINNER_5|Новий день, новий корпус чекає на другий шанс. Або на повторну переробку. У будь-якому випадку, у нас є координати, у вас є інструменти та досвід, і тут можна заробити непогані енцеладолари. Давайте до роботи!

DIALOG_SALVAGE_BYE_BEGINNER_1|Це ваш звіт про уламки на сьогодні. Якщо ви активний член SRO — чудово, у вас є перевага. Якщо ні? Ви взагалі не повинні цього чути. Витік даних гільдії карається, аж до довічного виключення, і я бачу тут достатньо постійних слухачів, щоб знати, що багато хто це вже знає. Працюйте чисто, тримайте язика за зубами і продовжуйте збирати брухт.

DIALOG_SALVAGE_BYE_BEGINNER_2|Це все від SRO на цей час! Ці звіти призначені виключно для членів організації з оплаченою підпискою — і ми відстежуємо витоки. Знаю, що багато хто з вас тут часті гості, тож якщо хочете зберегти підписку — тримайте координати в таємниці. Літайте безпечно!

DIALOG_SALVAGE_BYE_BEGINNER_3|На сьогодні це весь перелік брухту. Нагадую: це ексклюзивна інформація гільдії. Несанкціоноване розповсюдження призводить до санкцій, штрафів та можливого чорного списку. Якщо хочете залишитися у справі, тримайте язика за зубами. Тут багато досвідчених брухтарів, тож ви знаєте, наскільки прибутковою буває ця справа. Літайте безпечно і великих вам прибутків!

